ID Ensayo,Modalidad,Tiempo (s),Distancia (cm)
1769204093445.0,presential,0.0,0.0
1769204103647.0,presential,0.0,0.0
1769204114236.0,presential,0.0,0.0
1769204133719.0,presential,0.0,0.0
1769204166356.0,presential,0.0,0.0
1769204181405.0,presential,0.0,0.0
1769204181405,presential,0.0,0.0
1769204197478.0,presential,0.0,0.0
1769204552143.0,presential,0.0,0.0
1769204578107.0,presential,0.0,0.0
1769204585660.0,presential,0.0,0.0
1769204611798.0,presential,0.0,0.0
1769204622448.0,presential,0.0,0.0
1769204630085.0,presential,0.0,0.0
1769204637821.0,presential,0.0,0.0
1769204648867.0,presential,0.0,0.0
1769205234391.0,presential,0.0,0.0
1769205244745.0,presential,0.0,0.0
1769205260002.0,presential,0.0,0.0
1769205274569.0,presential,0.0,0.0
1769205509756.0,presential,0.0,0.0
1769205669562.0,presential,0.0,0.0
1769205678339.0,presential,0.0,0.0
1769205697463.0,presential,0.0,0.0
1769205710544.0,presential,0.0,0.0
1769205722039.0,presential,0.0,0.0
1769205839852.0,presential,0.0,0.0
1769205862261.0,presential,0.0,0.0
1769205870758.0,presential,0.0,0.0
1769206014050.0,presential,0.0,0.0
sim_presential_0_1769464103095,presential,0.0,0.0
sim_presential_11_1769464103095,presential,0.0,0.0
sim_presential_12_1769461081030,presential,0.0,0.0
sim_presential_13_1769461081030,presential,0.0,0.0
sim_presential_14_1769464103095,presential,0.0,0.0
sim_presential_15_1769464103095,presential,0.0,0.0
sim_presential_16_1769461081030,presential,0.0,0.0
sim_presential_17_1769461081030,presential,0.0,0.0
sim_presential_18_1769461081030,presential,0.0,0.0
sim_presential_18_1769464103095,presential,0.0,0.0
sim_presential_19_1769461081030,presential,0.0,0.0
sim_presential_25_1769461081030,presential,0.0,0.0
sim_presential_25_1769464103096,presential,0.0,0.0
sim_presential_28_1769464103096,presential,0.0,0.0
sim_presential_29_1769461081030,presential,0.0,0.0
sim_presential_29_1769464103096,presential,0.0,0.0
sim_presential_30_1769461081030,presential,0.0,0.0
sim_presential_30_1769464103096,presential,0.0,0.0
sim_presential_32_1769461081030,presential,0.0,0.0
sim_presential_34_1769461081030,presential,0.0,0.0
sim_presential_36_1769464103096,presential,0.0,0.0
sim_presential_37_1769464103096,presential,0.0,0.0
sim_presential_39_1769461081030,presential,0.0,0.0
sim_presential_39_1769464103096,presential,0.0,0.0
sim_presential_3_1769461081030,presential,0.0,0.0
sim_presential_3_1769464103095,presential,0.0,0.0
sim_presential_40_1769461081030,presential,0.0,0.0
sim_presential_41_1769461081030,presential,0.0,0.0
sim_presential_42_1769464103096,presential,0.0,0.0
sim_presential_43_1769461081030,presential,0.0,0.0
sim_presential_44_1769461081030,presential,0.0,0.0
sim_presential_44_1769464103096,presential,0.0,0.0
sim_presential_45_1769464103096,presential,0.0,0.0
sim_presential_47_1769461081030,presential,0.0,0.0
sim_presential_49_1769464103096,presential,0.0,0.0
sim_presential_4_1769461081030,presential,0.0,0.0
sim_presential_4_1769464103095,presential,0.0,0.0
sim_presential_5_1769461081030,presential,0.0,0.0
sim_presential_5_1769464103095,presential,0.0,0.0
sim_presential_7_1769461081030,presential,0.0,0.0
1769203121962.0,remote,0.0,0.0
1769203890691.0,remote,0.0,0.0
1769203926021.0,remote,0.0,0.0
1769203946802.0,remote,0.0,0.0
1769203963698.0,remote,0.0,0.0
1769203972502.0,remote,0.0,0.0
1769204008354.0,remote,0.0,0.0
1769204028454.0,remote,0.0,0.0
1769204039781.0,remote,0.0,0.0
1769204046540.0,remote,0.0,0.0
1769204055660.0,remote,0.0,0.0
1769204072019.0,remote,0.0,0.0
1769204465060.0,remote,0.0,0.0
1769204482362.0,remote,0.0,0.0
1769204498850.0,remote,0.0,0.0
1769204514298.0,remote,0.0,0.0
1769204523015.0,remote,0.0,0.0
1769204689566.0,remote,0.0,0.0
1769204702934.0,remote,0.0,0.0
1769204746558.0,remote,0.0,0.0
1769204759908.0,remote,0.0,0.0
sim_remote_0_1769461081030,remote,0.0,0.0
sim_remote_11_1769464103096,remote,0.0,0.0
sim_remote_12_1769461081030,remote,0.0,0.0
sim_remote_12_1769464103096,remote,0.0,0.0
sim_remote_14_1769461081030,remote,0.0,0.0
sim_remote_14_1769464103096,remote,0.0,0.0
sim_remote_15_1769461081030,remote,0.0,0.0
sim_remote_17_1769461081030,remote,0.0,0.0
sim_remote_17_1769464103096,remote,0.0,0.0
sim_remote_18_1769461081030,remote,0.0,0.0
sim_remote_19_1769464103096,remote,0.0,0.0
sim_remote_1_1769461081030,remote,0.0,0.0
sim_remote_1_1769464103096,remote,0.0,0.0
sim_remote_20_1769461081030,remote,0.0,0.0
sim_remote_21_1769461081030,remote,0.0,0.0
sim_remote_21_1769464103096,remote,0.0,0.0
sim_remote_22_1769461081030,remote,0.0,0.0
sim_remote_23_1769464103096,remote,0.0,0.0
sim_remote_25_1769461081030,remote,0.0,0.0
sim_remote_26_1769464103096,remote,0.0,0.0
sim_remote_27_1769461081030,remote,0.0,0.0
sim_remote_27_1769464103096,remote,0.0,0.0
sim_remote_28_1769461081030,remote,0.0,0.0
sim_remote_28_1769464103096,remote,0.0,0.0
sim_remote_2_1769464103096,remote,0.0,0.0
sim_remote_30_1769461081030,remote,0.0,0.0
sim_remote_31_1769464103096,remote,0.0,0.0
sim_remote_32_1769461081030,remote,0.0,0.0
sim_remote_33_1769461081030,remote,0.0,0.0
sim_remote_34_1769461081030,remote,0.0,0.0
sim_remote_35_1769464103096,remote,0.0,0.0
sim_remote_37_1769461081030,remote,0.0,0.0
sim_remote_39_1769464103096,remote,0.0,0.0
sim_remote_40_1769461081030,remote,0.0,0.0
sim_remote_40_1769464103096,remote,0.0,0.0
sim_remote_41_1769461081030,remote,0.0,0.0
sim_remote_41_1769464103096,remote,0.0,0.0
sim_remote_43_1769461081030,remote,0.0,0.0
